@Name,@Description,@HasValue,@Group,@HTML5
autofocus,Элемент будет сфокусирован при перезагрузке страницы,0,Global,1
hidden,Скрывает элемент,0,Global,1
itemscope,Используется для установки области для сущности с itemtype,0,Global,1
accesskey,Задает сочетание клавиш для фокусирования элемента,1,Global,
autocapitalize,Указание регистра текста,1,Global,1
class,Список классов элемента,1,Global,
contenteditable,Возможность редактировать содержимое элемента,1,Global,1
data-*,Пользовательские атрибуты данных,1,Global,1
dir,Направление текста элемента,1,Global,
draggable,Возможность перетаскивать элемент,1,Global,1
enterkeyhint,Указание подсказки для клавиши ввода на виртуальной клавиатуре,1,Global,1
id,Определяет уникальные идентификаторы элемента,1,Global,
inputmode,Режим ввода для виртуальной клавиатуры,1,Global,1
is,"Указывает, что существующий стандартный элемент на самом деле является пользовательским элементом",1,Global,1
itemid,Предоставляет микроданные в виде уникального глобального идентификатора элемента,1,Global,1
itemprop,Описывает свойства сущности,1,Global,1
itemref,"Добавляет аннотации к страницам, где аннотируемые данные не соответствуют древовидной структуре (напр. таблица)",1,Global,1
itemtype,"Указывает тип сущности, описанной в словаре по данному url",1,Global,1
lang,"Указывает основной язык для содержимого элемента и для любого из атрибутов элемента, содержащих текст (BCP 47)",1,Global,
nonce,Определяет криптографический одноразовый номер для разрешения элементов,1,Global tag-style tag-link tag-script,1
slot,Используется для назначения слота элементу,1,Global,1
spellcheck,Указание для проверки элемента на орфографические ошибки,1,Global,1
style,Содержит объявления стилей CSS (для быстрой настройки стилей / тестирования),1,Global,
tabindex,"Указывает порядок, в котором может быит последовательно сфокусирован элемент (обычно клавишей Tab)",1,Global,
title,"Содержит дополнительную информацию об элементе, задавая всплывающую подсказку для страницы / Определяет заголовок",1,Global tag-link,
translate,"Указывает, следует ли переводить элемент при переводе страницы",1,Global,1
charset,Указывает кодировку символов,1,tag-meta tag-script,
content,Произвольный текст для ассоциирования с атрибутом http-equiv или name,?,tag-meta,
http-equiv,Контроллирует действия браузера на странице,1,tag-meta,
name,Ассоциируется со значением в атрибуте content / Задает имя карты <`map> (usemap),1,tag-meta tag-map,
media,"Определяет тип устройства, для которого нужно применить ресурс",1,tag-style tag-link tag-area,1
type,Определяет тип/расширение/язык файла/сценария / вид маркера в списке,1,tag-style tag-link tag-script tag-area tag-ol,1
crossorigin,??,,tag-link tag-script,1
href,Ссылка/путь к документу/файлу,1,tag-link tag-a tag-area,
hreflang,"Определяет язык текста в документе, на который идет ссылка",1,tag-link tag-area,1
rel,"Атрибут определяет отношения между текущим документом и документом, на который идет ссылка",1,tag-link tag-area,1
sizes,"Указывает размер иконок для визуального отображения (совместно с rel=icon)",1,tag-link,
async,Сценарий начнет выполняться одновременно с загрузкой страницы (асинхронно),,tag-script,
defer,Интерпретация сценариев откладывается до окончания отображения документа на устройстве пользователя,,tag-script,
src,Указывает на месторасположение файла,1,tag-script tag-img,
onafterprint,"Событие, срабатывающее после отправки страницы на печать или после закрытия окна печати",,tag-body,
onbeforeprint,"Событие, срабатывающее перед отправкой страницы на печать",,tag-body,
onbeforeunload,"Событие срабатывает, когда посетитель инициировал переход на другую страницу или нажал «закрыть окно»",,tag-body,
onhashchange,"Событие срабатывает, когда меняется hash-часть URL",,tag-body,
onmessage,"Событие происходит, когда сообщение получено через источник события",,tag-body,
onoffline,"Событие вызывается браузером в том случае, когда браузер определит, что интернет-соединение пропало",,tag-body,
ononline,"Событие вызывается браузером в том случае, когда интернет-соединение возобновилось",,tag-body,
onpagehide,"Событие происходит, когда пользователь покидает страницу посредством навигации",,tag-body,
onpageshow,"Событие происходит, когда пользователь переходит на веб-страницу, после события onload",,tag-body,
onunload,"Событие срабатывает если страница не загрузилась по каким-либо причинам, либо при закрытии окна браузера",,tag-body,
open,,,tag-dialog,
action,,,tag-form,
disabled,,,,
cite,,,tag-ins tag-del tag-blockquote tag-q,
datetime,,,tag-ins tag-del,
download,"Ресурс должен быть загружен в момент, когда пользователь щелкает по ссылке",1,tag-a tag-area,1
ping,"Отслеживает URL-адреса ресурсов, по которым переходил пользователь",,tag-a,1
target,"Указывает на то, в каком окне должен открываться документ, к которому ведет ссылка",,tag-a tag-area,1
alt,"Добавляет альтернативный текст для изображения / активной области",1,tag-img tag-area,
height,"Задает высоту изображения в px",1,tag-img,
width,"Задает ширину изображения в px",1,tag-img,
ismap,"Указывает на то, что картинка является частью изображения-карты, расположенного на сервере",,tag-img,
longdesc,"URL расширенного описания изображения, дополняющее атрибут alt",1,tag-img,
sizes,"Задаёт размер изображения в зависимости от параметров отображения (дополняет srcset)",1,tag-img,1
srcset,"Создаёт список источников для изображения, которые будут выбраны, исходя из разрешения экрана",1,tag-img,1
usemap,"Определяет изображение в качестве карты-изображения",1,tag-img,
coords,"Определяет позицию области на экране",1,tag-area,
shape,"Задает форму активной области на карте и ее координаты",1,tag-area,
colspan,Количество ячеек в строке для объединения по горизонтали,1,tag-td,
rowspan,Количество ячеек в столбце для объединения по вертикали,1,tag-td,
headers,"Задает список ячеек заголовка, содержащих информацию о заголовке текущей ячейки данных",1,tag-th,
span,"Количество колонок, объединяемых для задания единого стиля, по умолчанию равно 1",1,tag-col,

reversed,Задает отображение списка в обратном порядке,,tag-ol,
start,Задает начальное значение нумерации,1,tag-ol,